4|8|1 2 7 2 3 2 2 3 4 2 1 3 1 4 5 5 6 1 3 2 6 7 7 7 8
3|8|1 2 2 2 3 4 3 4 5 5 6 1 3 2 6 7 7 7 8
3|8|1 2 3 4 5 6 3 4 4 5 4 3 3 4 5 6 3 4 1 7 8
20|8|6 4 8 4 1 1 1 4 5 1 4 1 8 4 6 7 1 4 4 6 6 2 5 5 3
9|27|10 23 15 1 27 25 5 12 10 4 20 4 13 22 24 2 17 16 8 15 9 23 9 9 14 14 16 26 16 2 10 21 22 14 7 11 4 26 14 24 16 5 6 23 15 15 3 9 23 15 26 23 3 4 22 5 4 10 14 19 24 26 8 17 21 17 10 13 21 11 17 6 9 27 2 8 17 4 14 12 2
12|17|7 12 16 17 5 4 6 11 4 14 5 11 3 16 9 8 7 17 3 10 9 8 11 4 14 8 13 6 16 11 12 9 15 11 11 9 4 10 6 3 11 6 4 14 15 13 1 6 1 16 1
16|20|9 11 11 7 18 15 13 18 20 17 2 18 10 5 20 19 10 14 16 14 5 13 11 20 1 11 13 3 11 10 9 14 3 16 17 10 16 5 11 6 19 8 12 5 15 5 20 17 8 20 11 19 3 6 1 8 4 7 10 19
10|24|20 12 14 17 7 2 5 10 6 2 10 23 2 7 19 4 1 10 18 2 12 12 12 1 16 9 6 21 5 19 11 6 8 7 11 1 17 3 22 3 11 8 13 21 13 5 24 12 21 4 19 6 19 21 5 15 12 10 20 1 19 5 2 16 12 18 15 1 18 10 21 19
9|23|19 14 3 19 3 20 4 23 7 19 10 23 7 14 3 10 18 17 8 16 2 12 14 4 9 7 23 8 16 5 16 11 23 1 1 1 12 13 5 9 5 9 11 8 8 16 22 2 13 14 10 7 11 5 1 13 9 11 3 19 10 12 21 16 16 15 6 19 4
15|28|4 27 28 3 22 19 4 17 9 14 14 12 18 20 10 11 27 21 10 10 10 22 11 3 12 23 23 24 23 23 27 8 25 1 10 8 9 9 13 8 7 22 12 19 2 26 24 5 20 12 21 10 4 1 25 25 23 12 14 25 18 18 28 2 11 27 18 24 26 24 4 7 27 20 26 17 28 21 2 6 3 22 14 8 23 17 2 12 16 12 11 2 12 22 2 5 24 7 6 16 2 9 18 7 14 25 6 13 17 25 21 4 15
14|24|13 19 5 17 7 13 6 1 9 18 21 18 22 12 18 10 13 4 12 22 18 21 20 16 11 21 16 9 1 2 21 20 14 4 1 15 6 12 3 5 19 12 3 12 7 10 6 22 3 18 13 15 24 21 9 21 5 19 8 21 17 20 17 6 7 21 24 22 24 3 24 13 5 10 5 15 11 6 19 19 6 16 20 11 6 20 2 16 17 11 11 4 10 14 6 20 6 23
1|16|6 3 12 6 10 4 4 4 2 6 10 10 1 14 16 9 5 5 3 16 10 10 6 15 6 5 5 12 16 5 8 7 6 6 7 2 6 9 5 1 1 10 6 12 5 3 5 4 5 4 6 3 12 16 2 12 14 7 9 11 8 1 15 12 10 13
4|32|19 25 11 18 18 24 11 22 29 7 25 27 15 6 12 16 32 2 32 19 17 24 9 27 16 19 18 29 3 2 26 4 14 18 24 29 26 27 3 16 7 31 31 7 22 28 19 14 15 27 10 18 15 20 24 32 2 16 7 15 17 8 29 23 16 22 19 4 31 29 13 13 32 3 6 27 22 17 19 10 26 32 6 24 1 2 3 30 20 21 10 26 26 23 24 15 15 24 29 28 11 29 2 8 6 16 23 18 30 4 26 5
6|21|9 10 4 4 4 9 20 13 8 21 17 5 21 2 12 20 4 17 6 16 8 21 15 19 8 18 20 9 1 21 10 16 3 10 18 9 12 9 20 19 19 15 9 8 14 15 11 17 7
10|17|3 5 5 15 5 7 17 10 16 15 12 9 17 11 5 3 8 8 3 12 5 4 15 12 6 15 11 9 14 8 13 4 9 2 16 1
9|24|16 14 22 19 14 1 15 18 17 23 23 21 3 18 11 19 17 22 18 12 14 11 7 24 24 24 16 21 8 5 4 16 8 20 17 22 10 10 23 9 11 5 14 8 13 10 1 1 6 1 12 17 21 4 16 20 1 3 6 14 22 2
5|29|18 14 7 5 18 14 18 11 7 14 23 22 12 17 20 11 23 18 15 28 22 16 4 29 14 6 28 11 25 26 1 4 26 24 6 17 9 27 4 11 21 21 11 29 4 4 25 23 1 7 26 1 10 11 3 10 4 22 11 16 12 16 26 28 26 8 8 27 21 15 4 9 8 3 19 2 4 19 10 29 27 8 9 24 12 22 5 3 24 6 24 17 9 23 5 29 25 1 2 4 2 9 21 24 26 1 6 6 24 19 3 27 20 3 5 16 17 16 13
11|22|12 5 20 5 3 21 10 8 11 1 6 22 4 3 4 16 13 15 6 22 4 21 2 11 5 2 8 17 18 6 14 11 9 5 11 9 2 13 16 3 4 10 2 3 16 10 9 21 16 9 17 21 8 3 5 20 13 21 14 19 13 15 11 7
14|18|8 5 3 12 9 13 11 15 16 9 12 8 1 16 2 13 15 14 6 3 17 17 4 2 2 18 6 18 5 4 17 14 5 5 3 9 5 15 11 14 9 4 2 16 6 3 14 12 6 18 17 5 16 18 14 5 7 8 2 6 11 5 16 7 11 9 18 12 2 2 3 14 17 8 12 4 13 13 1 12 13 3 13 15 9 18 5 11 8 4 10
